好评分词,好评词频,中评分词,中评词频,差评分词,差评词频
后天,3.0,两行,3,精彩,2.0
编剧,3.0,泪,3,人性,2.0
高潮,3.0,视觉,3,爆米花,2.0
视觉效果,3.0,未来,3,不好,2.0
演技,3.0,场面,3,计划,2.0
一种,3.0,发动机,3,派,2.0
真,3.0,政府,3,飞船,2.0
中国式,3.0,失败,3,吐,2.0
80,3.0,几个,3,社会,2.0
能力,3.0,想象,3,停留,2.0
市场,3.0,一股,3,孩子,2.0
拖,3.0,后半段,3,父子,2.0
价值观,3.0,男,3,赶紧,2.0
儿子,3.0,环境,3,文本,2.0
屈楚,3.0,框架,3,创造,2.0
萧,3.0,主角,3,形式,2.0
瑕疵,3.0,计划,3,称之为,2.0
朋克,3.0,扎实,3,剧作,2.0
吹,3.0,独立,3,绝望,2.0
荒凉,3.0,塑造,3,配乐,2.0
后半段,3.0,之间,3,滥用,2.0
探索,3.0,麻烦,3,濒临,2.0
正确,3.0,过程,3,死亡,2.0
改编,3.0,成,3,推动,2.0
爱,3.0,发展,3,指导,2.0
展现,3.0,反转,3,建设,2.0
主题,3.0,式,3,三观,2.0
东西,3.0,加,3,论证,2.0
观感,3.0,转折,3,东西,2.0
塑造,3.0,朵朵,3,观影,2.0
水准,3.0,发现,3,好不好,2.0
情节,3.0,软,3,全球化,2.0
一句,3.0,一套,3,非,2.0
节奏,3.0,概念,3,表面,2.0
开启,3.0,几次,3,唯一,2.0
营造,3.0,初中生,3,宇宙观,2.0
视觉,3.0,行,3,参与,2.0
瑕不掩瑜,3.0,期待,3,角度,2.0
年,3.0,恶心,3,犬儒,2.0
看过,3.0,画面,3,核心,2.0
钱,3.0,时代,3,主人公,2.0
商业,3.0,两回事,2,不靠,2.0
国际,3.0,此类,2,改变,2.0
视听,3.0,用心,2,全靠,2.0
科幻世界,3.0,好奇,2,想到,2.0
尬,3.0,对不上,2,营造,2.0
创作,3.0,口型,2,说到底,2.0
至少,3.0,交代,2,手段,2.0
没什么,3.0,幽默,2,文明,2.0
好头,3.0,笑点,2,自然,2.0
客观,3.0,俄,2,文化,2.0
史诗,3.0,2001,2,活着,2.0
机会,3.0,漫游,2,好看,2.0
评价,3.0,杂糅,2,点,2.0
国产电影,3.0,后天,2,爱国,2.0
时,3.0,宏观,2,不知,2.0
勇气,3.0,地面,2,廉价,2.0
娱乐,3.0,矛盾,2,忍不住,2.0
made,3.0,吴孟达,2,人设,2.0
保住,3.0,坠落,2,套路,2.0
道路,2.0,尬,2,全片,2.0
第一条,2.0,想象力,2,最佳,2.0
这句,2.0,赞美,2,Moss,2.0
土,2.0,年,2,毁灭,2.0
洗脑,2.0,所有人,2,过年,2.0
恢弘,2.0,结局,2,刘,2.0
线,2.0,绝望,2,天文,2.0
架构,2.0,看法,2,两个,2.0
国外,2.0,双线,2,垃圾,2.0
远,2.0,可怕,2,污染,2.0
裤衩,2.0,自以为是,2,办法,2.0
东方明珠,2.0,如果说,2,国际,2.0
套路,2.0,及格,2,几个,2.0
放弃,2.0,走出,2,创新,2.0
居住地,2.0,同伴,2,2019,2.0
方向,2.0,同意,2,充斥,2.0
悲伤,2.0,高科技,2,风格,2.0
毁灭,2.0,苍白,2,挖掘,2.0
逃难,2.0,剩下,2,银河系,2.0
创意,2.0,时刻,2,灾难片,2.0
惊艳,2.0,想起,2,人定胜天,2.0
地木,2.0,母题,2,走,2.0
更是,2.0,价值,2,民族,2.0
试问,2.0,家国,2,仿佛,2.0
片头,2.0,情怀,2,伦理,2.0
精彩,2.0,证明,2,水平,2.0
改动,2.0,看着,2,会员,2.0
意味着,2.0,没法,2,瞅,2.0
迷,2.0,接受,2,拍成,2.0
拍出,2.0,小屁孩,2,一半,2.0
想想,2.0,全球,2,不想,2.0
工业化,2.0,牛,2,笑,2.0
前所未有,2.0,爱国主义,2,作文,2.0
电影史,2.0,仿佛,2,库,2.0
自信,2.0,科学,2,布里克,2.0
找,2.0,度,2,"
",2.0
方式,2.0,强,2,爱,2.0
违和感,2.0,套路,2,摄影,2.0
燃爆,2.0,化,2,现象,2.0
动人,2.0,全,2,浪漫,2.0
赋予,2.0,演,2,★,2.0
美式,2.0,全程,2,新,2.0
真实,2.0,出戏,2,探索,2.0
星系,2.0,全片,2,解释,2.0
贝加尔湖,2.0,粗暴,2,标准,2.0
角色,2.0,场景,2,华语,2.0
孤独感,2.0,俄罗斯,2,典型,2.0
温暖,2.0,日本,2,空间,2.0
讨厌,2.0,韩国,2,动作,2.0
人性,2.0,期望,2,发生,2.0
打动,2.0,绑架,2,远景,2.0
一星,2.0,文戏,2,清晰,2.0
韩,2.0,意外,2,木星,2.0
朵朵,2.0,可惜,2,上海,2.0
主创,2.0,国产片,2,电梯,2.0
站,2.0,小说,2,开头,2.0
世界末日,2.0,改编,2,反复,2.0
影子,2.0,丝毫,2,广播,2.0
演绎,2.0,车,2,值得,2.0
惊人,2.0,国家,2,拍摄,2.0
说实话,2.0,造,2,配音,2.0
起点,2.0,表达,2,时,2.0
出彩,2.0,那句,2,音效,2.0
足够,2.0,传达,2,救,2.0
太尬,2.0,亲人,2,团聚,2.0
燃烧,2.0,想要,2,末日,2.0
关系,2.0,心,2,反正,2.0
投射,2.0,应有,2,内容,2.0
构想,2.0,更好,2,希望,2.0
扎实,2.0,胜,2,震撼,2.0
30,2.0,设想,2,塑造,2.0
燃,2.0,有待,2,展现,2.0
2019,2.0,想到,2,可言,2.0
学习,2.0,联合,2,迷,2.0
惊喜,2.0,权威,2,两星,2.0
加油,2.0,似,2,预期,2.0
有种,2.0,卡车,2,起码,2.0
够,2.0,工程,2,执行,2.0
服从,2.0,少年,2,一场,2.0
外国人,2.0,飞,2,不错,2.0
要说,2.0,火种,2,精神,2.0
只能,2.0,教室,2,2.5,2.0
级别,2.0,虚假,2,崩塌,2.0
父子,2.0,半天,2,近景,2.0
像是,2.0,大佬,2,中心,2.0
踏实,2.0,危机,2,冷静,2.0
关怀,2.0,散,2,加,2.0
高度,2.0,回家,2,意味着,2.0
飞跃,2.0,体量,2,土,1.0
赛博,2.0,巨物,2,仅靠,1.0
指向,2.0,老少,2,仅余,1.0
放,2.0,爷们,2,妄想,1.0
剪辑,2.0,样子,2,承认,1.0
忍不住,2.0,一把,2,无知,1.0
可惜,2.0,公允,2,跳出,1.0
刻意,2.0,前半段,2,看待,1.0
留给,2.0,味道,2,一头,1.0
未知,2.0,推进,2,扎入,1.0
政治,2.0,国际,2,狭隘,1.0
滚,2.0,爆米花,2,纠纷,1.0
当得起,2.0,消失,2,国情,1.0
化,2.0,呈现,2,怀中,1.0
罕见,2.0,一是,2,自作聪明,1.0
具备,2.0,小品,2,抡,1.0
时刻,2.0,春晚,2,圆,1.0
宿命,2.0,集权,2,膀子,1.0
悲壮,2.0,那段,2,脸上,1.0
档,2.0,嘴脸,2,金银珠宝,1.0
教育,2.0,高压,2,闪到,1.0
气势恢宏,2.0,自由,2,但全,1.0
完整,2.0,自然,2,美感,1.0
原创,2.0,死,2,只想,1.0
地心引力,2.0,父亲,2,宣传攻势,1.0
2012,2.0,天天,2,体量,1.0
经典,2.0,点太多,2,简单,1.0
降临,2.0,社会,2,换成,1.0
庞大,2.0,档,2,想想,1.0
体系,2.0,点燃,2,几星,1.0
出乎意料,2.0,资源,2,求求,1.0
本土,2.0,红海,2,生存,1.0
理论,2.0,迎接,2,请别,1.0
仰望,2.0,银翼,2,bb,1.0
or,2.0,杀手,2,琐事,1.0
星空,2.0,元素,2,梗,1.0
有趣,2.0,足够,2,瞎,1.0
年代,2.0,渲染,2,原作,1.0
找到,2.0,想法,2,Frost,1.0
伦理,2.0,男主角,2,punk,1.0
救援,2.0,认同,2,游戏,1.0
想到,2.0,忽略,2,通通,1.0
渺小,2.0,摆脱,2,烧,1.0
远方,2.0,开头,2,石头,1.0
放在,2.0,紧张感,2,热,1.0
显得,2.0,宽容,2,核聚变,1.0
加持,2.0,能力,2,高科技,1.0
前行,2.0,恐惧,2,搞不清楚,1.0
星球,2.0,写,2,工作,1.0
三星,2.0,东西,2,条件,1.0
概念,2.0,灵性,2,导致,1.0
第一次,2.0,格局,2,集体,1.0
银幕,2.0,光洁,2,熄火,1.0
灾难,2.0,动作,2,拉,1.0
大门,2.0,诚意,2,这是,1.0
泪点,2.0,回事,2,侮辱,1.0
祖国,2.0,作品,2,工程,1.0
世纪,2.0,电影工业,2,技术人员,1.0
超过,2.0,扁平,2,科学家,1.0
执行,2.0,靠着,2,智商,1.0
达标,2.0,够,2,否定,1.0
工整,2.0,末日,2,预演,1.0
演员,2.0,赛博,2,放屁,1.0
氛围,2.0,朋克,2,完美,1.0
角度,2.0,世界观,2,可靠性,1.0
构建,2.0,突破,2,可行性,1.0
镜头,2.0,细致,2,验证,1.0
值得一看,2.0,太差,2,此路不通,1.0
面对,2.0,旁白,2,补充,1.0
始终,2.0,闭嘴,2,缺乏,1.0
成,2.0,郭帆,2,场面,1.0
柏林,2.0,影子,2,早已,1.0
四星,2.0,没什么,2,审美疲劳,1.0
文本,2.0,熟,2,脑残,1.0
一件,2.0,吃,2,摇摇头,1.0
社会,2.0,挂,2,战狼京,1.0
超前,2.0,脸,2,违和感,1.0
经历,2.0,令人,2,想起,1.0
友情,2.0,这是,2,当年,1.0
通往,2.0,3.5,2,芮,1.0
类似,2.0,歌颂,2,成钢,1.0
尴尬,2.0,选择,2,名言,1.0
理性,2.0,骄傲,2,代表,1.0
语言,2.0,外壳,2,亚洲,1.0
题材,2.0,吹,2,意淫,1.0
不可避免,2.0,一步,2,大于,1.0
可贵,2.0,绕,2,批评,1.0
两个,2.0,合格,2,五分,1.0
不输,2.0,成功,2,这回,1.0
营救,2.0,奇怪,2,团队,1.0
超越,2.0,经典,2,前半段,1.0
神话,2.0,大跃进,2,撩,1.0
戏,2.0,历史,2,赶上,1.0
混乱,2.0,新意,2,笔仙,1.0
几处,2.0,思维,2,碟仙,1.0
最终,2.0,一半,2,亮眼,1.0
走,2.0,冲撞,2,cg,1.0
这片,2.0,强大,2,效果,1.0
过硬,2.0,天体,2,满意,1.0
奇观,2.0,运动,2,不如说是,1.0
影迷,2.0,质感,2,人伦,1.0
世界观,2.0,结束,2,催泪,1.0
两,2.0,刘慈欣,2,生硬,1.0
佳作,2.0,戲,2,这一,1.0
五颗星,2.0,模糊,2,催,1.0
「,2.0,價值觀,2,担当,1.0
IMAX,2.0,唯一,2,叔,1.0
疯狂,2.0,散伙,2,尽力,1.0
死,2.0,回来,2,😞,1.0
受,2.0,悖论,2,改编,1.0
浪漫,2.0,意识形态,2,面目全非,1.0
素质,2.0,位置,2,形,1.0
大学,2.0,努力,2,恢弘,1.0
山东,2.0,请,2,外,1.0
济宁,2.0,浩瀚,2,洞悉,1.0
Tim,2.0,作文,2,社会形态,1.0
哥们,2.0,感情,2,观察力,1.0
质感,2.0,跟不上,2,阉割,1.0
差,2.0,优点,2,降维,1.0
稳,2.0,念白,2,美式,1.0
恢宏,2.0,星,2,硬挤,1.0
总体,2.0,足见,2,地笑点,1.0
违,2.0,实力,2,缺,1.0
戴,2.0,道德,2,书中,1.0
反派,2.0,廉价,2,侧面,1.0
开,2.0,趴,2,描写,1.0
剩下,2.0,钱,2,最终,1.0
尝试,2.0,一座,2,倾向,1.0
勇敢,2.0,讨厌,2,一茬,1.0
东方式,2.0,打一星,2,提,1.0
视效,2.0,争议,2,困惑,1.0
相比,2.0,四个,1,拖,1.0
差距,2.0,字,1,跑,1.0
我要,2.0,儿戏,1,高效,1.0
我会,2.0,迄今为止,1,移居,1.0
一场,2.0,巅峰,1,不到,1.0
尺度,2.0,磅礴,1,不值,1.0
高贵,2.0,恢宏,1,可别,1.0
出发,2.0,营造,1,拍三体,1.0
影视,2.0,超过,1,微笑,1.0
科,2.0,40%,1,吴战,1.0
史,2.0,后配,1,狼,1.0
一张,2.0,成型,1,英雄主义,1.0
影院,2.0,改词,1,1.2058,1.0
刷,2.0,重配,1,中学,1.0
哭,2.0,影响,1,课堂,1.0
几十年,2.0,质量,1,1988,1.0
多点,2.0,讲述,1,机械设计,1.0
夸父追日,2.0,特征,1,维多利亚,1.0
标准,2.0,鲜明,1,蒸汽,1.0
普世,2.0,启字,1,齿轮,1.0
价值,2.0,拆解,1,阶段,1.0
美术,2.0,长条,1,自以为是,1.0
难度,2.0,留给,1,熊,1.0
支持,2.0,增加,1,进,1.0
一流,2.0,众多,1,监狱,1.0
爆哭,2.0,插科打诨,1,心疼,1.0
所有人,2.0,全球化,1,休眠,1.0
少,2.0,项目,1,精英,1.0
费,2.0,合作,1,宇航员,1.0
救赎,2.0,稍稍,1,一意孤行,1.0
国,2.0,两句,1,陪葬,1.0
影,2.0,日语,1,4.56,1.0
近乎,2.0,闪现,1,语言,1.0
亲友,2.0,国旗,1,奇迹,1.0
他妈的,2.0,缺席,1,理智,1.0
in,2.0,巨大进步,1,一件,1.0
china,2.0,一部分,1,奢侈,1.0
烂片,2.0,并存,1,事,1.0
传递,2.0,致敬,1,散,1.0
保,2.0,AI,1,冰释,1.0
舍,2.0,杀人,1,前嫌,1.0
个体,2.0,罗兰,1,高度,1.0
刘培强,2.0,艾默里,1,依赖,1.0
爆,2.0,这条线,1,全新,1.0
理智,2.0,镜头,1,小说,1.0
委,1.0,内驱力,1,零碎,1.0
提醒,1.0,看清,1,看得出,1.0
千万条,1.0,俩,1,智力,1.0
行车,1.0,兄妹,1,浅显,1.0
规范,1.0,球里,1,直白,1.0
亲人,1.0,事件,1,务求,1.0
两行,1.0,关联,1,智障,1.0
泪,1.0,欠,1,能看懂,1.0
语,1.0,打磨,1,讲故事,1.0
押点,1.0,对冲,1,耐心,1.0
韵,1.0,硬尬,1,近乎,1.0
哈哈哈,1.0,直逼,1,放弃,1.0
磅礴,1.0,李易峰,1,引导,1.0
晨昏,1.0,老炮,1,一味,1.0
过后,1.0,儿里,1,强迫,1.0
永夜,1.0,儿子,1,闭,1.0
火种,1.0,全靠,1,广播剧,1.0
推动,1.0,吼,1,睁,1.0
大小,1.0,一流,1,奇观,1.0
没想到,1.0,冲着,1,展示,1.0
了不得,1.0,恕我直言,1,令人发指,1.0
零下,1.0,跟上,1,三条,1.0
89,1.0,剧作,1,音轨,1.0
°,1.0,不及格,1,铺满,1.0
冰天,1.0,大圣,1,整部,1.0
冻地,1.0,归来,1,不在乎,1.0
末世,1.0,动漫,1,听力,1.0
猎奇,1.0,客观,1,健康,1.0
唏嘘,1.0,有人,1,低,1.0
文化背景,1.0,骂,1,重音,1.0
新生儿,1.0,模式,1,崩溃,1.0
多于,1.0,热血,1,着重强调,1.0
挑剔,1.0,人设,1,淡化,1.0
挖掘,1.0,有太多,1,逻辑关系,1.0
守,1.0,方向,1,关键,1.0
住家,1.0,尊重,1,信息,1.0
校服,1.0,规律,1,模糊化,1.0
丑,1.0,触到,1,惨而惨,1.0
一同,1.0,2500,1,目的性,1.0
荡气回肠,1.0,漫长,1,操控,1.0
无比,1.0,旅行,1,观,1.0
行星,1.0,悲观,1,作用,1.0
发动机,1.0,史诗,1,大得多,1.0
还原,1.0,狂轰滥炸,1,戏剧性,1.0
雅典卫城,1.0,太糙,1,堪称,1.0
神殿,1.0,太散,1,全,1.0
巨柱,1.0,自我陶醉,1,乱吼,1.0
描写,1.0,中国式,1,爆发,1.0
尾迹,1.0,寓言,1,立意,1.0
清晰可见,1.0,长辈,1,依旧,1.0
宛如,1.0,大爱,1,作呕,1.0
一艘,1.0,无言,1,那套,1.0
巨型,1.0,前仆后继,1,反智反,1.0
飞船,1.0,自我牺牲,1,快速,1.0
遨游,1.0,年轻,1,指南,1.0
气势磅礴,1.0,叛逆,1,类比,1.0
交会,1.0,总能,1,市占率,1.0
瞠目结舌,1.0,踏着,1,公论,1.0
表扬,1.0,祖辈,1,地说,1.0
比漫威,1.0,鲜血,1,不足以,1.0
漫画,1.0,苟活,1,五星,1.0
翻页,1.0,细思极,1,翻版,1.0
框架,1.0,恐,1,建立,1.0
扩充,1.0,影厅,1,合作,1.0
两章,1.0,身后,1,制造,1.0
叛乱,1.0,一位,1,某种,1.0
续集,1.0,女生,1,底层,1.0
新意,1.0,三句话,1,体现,1.0
上映,1.0,网上,1,底色,1.0
填补,1.0,打分,1,数不清,1.0
空白,1.0,是因为,1,通力合作,1.0
正式,1.0,不足之处,1,实际上,1.0
迎来,1.0,人文,1,俄国人,1.0
春天,1.0,关怀,1,搞起,1.0
原谅,1.0,统统,1,团,1.0
自然,1.0,缺失,1,团伙,1.0
站不住脚,1.0,芸芸众生,1,伙,1.0
早就,1.0,七情六欲,1,可取,1.0
拍过,1.0,色彩斑斓,1,具象化,1.0
第一座,1.0,未必,1,星辰,1.0
或者说,1.0,高明,1,大海,1.0
任何人,1.0,国产电影,1,期望,1.0
无可反驳,1.0,一切都是,1,胸怀,1.0
程度,1.0,难民,1,意愿,1.0
载入,1.0,图书馆,1,干涉,1.0
陌生,1.0,争辩,1,输出,1.0
拍摄,1.0,烧,1,顶呱呱,1.0
是因为,1.0,尼采,1,打哈哈,1.0
不到,1.0,书,1,鸡贼,1.0
独有,1.0,竭力,1,愤怒,1.0
这件,1.0,保护,1,调度,1.0
棒,1.0,西方,1,责任感,1.0
竖起,1.0,谷腾堡,1,设问,1.0
行业,1.0,圣经,1,终极,1.0
标杆,1.0,肃然起敬,1,体验,1.0
细腻,1.0,高度文明,1,契合,1.0
一份,1.0,危难,1,身上,1.0
安静,1.0,永恒,1,最有,1.0
萦绕,1.0,小情,1,扯蛋,1.0
不去,1.0,小爱,1,自我标榜,1.0
戳心,1.0,命运,1,很大,1.0
寻找,1.0,共同体,1,面对,1.0
开辟,1.0,真谛,1,困难,1.0
冰有,1.0,仙桃,1,挑战,1.0
天,1.0,剧角,1,外部,1.0
化为,1.0,挺无语,1,情势,1.0
水,1.0,解释,1,机遇,1.0
子孙,1.0,常识,1,遭遇,1.0
真是太,1.0,顶尖,1,绑住,1.0
乡愁,1.0,科学家,1,硬噎,1.0
念念不忘,1.0,超,1,馒头,1.0
挥之不去,1.0,智能,1,怎么回事,1.0
头顶,1.0,人工智能,1,无数个,1.0
寒冷,1.0,胜利,1,偶然,1.0
感叹,1.0,壮阔,1,所有人,1.0
精妙,1.0,斑斓,1,抉择,1.0
极尽,1.0,荒原,1,轻飘飘,1.0
谄媚,1.0,废土,1,人死,1.0
逢迎,1.0,展现,1,意外,1.0
接地,1.0,窥见,1,末世,1.0
气,1.0,春天,1,尸体,1.0
想要,1.0,微光,1,遍地,1.0
努力,1.0,模仿,1,人有,1.0
区别,1.0,痕迹,1,触动,1.0
海草,1.0,莫斯,1,关怀,1.0
舞,1.0,堪称,1,空有,1.0
穿,1.0,全知型,1,空话,1.0
秋裤,1.0,哈尔,1,何物,1.0
魔幻,1.0,显露,1,及格,1.0
展现出,1.0,无疑,1,电影吧,1.0
特有,1.0,不谈,1,人去,1.0
纽带,1.0,原理,1,豆瓣,1.0
几条,1.0,硬核,1,app,1.0
至关重要,1.0,反感,1,打分,1.0
吴孟达,1.0,号称,1,星改,1.0
饰演,1.0,塞,1,热爱,1.0
爷爷,1.0,煽,1,想要,1.0
姥爷,1.0,美式,1,捍卫,1.0
这条线,1.0,高大,1,献上,1.0
隐线,1.0,旗帜,1,庄重,1.0
父女情,1.0,无比,1,分数,1.0
夫妻情,1.0,废话,1,叛逆,1.0
第一,1.0,滤镜,1,本应,1.0
男主角,1.0,折射,1,全给,1.0
演到,1.0,满溢,1,彷佛,1.0
尾,1.0,愈发,1,吃,1.0
独角戏,1.0,神奇,1,大年初一,1.0
难度很大,1.0,不知,1,第一口,1.0
出演,1.0,跳跃,1,shi,1.0
情非得已,1.0,隐去,1,科技进步,1.0
多加,1.0,陨落,1,作得,1.0
刘启,1.0,东南亚,1,恨不得,1.0
俩,1.0,逃避,1,打爆,1.0
赶紧,1.0,父权,1,🐷,1.0
累,1.0,杠杆,1,头,1.0
125,1.0,子嗣,1,女,1.0
肩膀,1.0,撬动,1,添麻烦,1.0
壮举,1.0,前期,1,不懂事,1.0
风暴,1.0,强势,1,宗教,1.0
一系列,1.0,导致,1,计划经济,1.0
观看,1.0,过高,1,缩影,1.0
认定,1.0,男一女,1,矿工,1.0
样子,1.0,拖后腿,1,区,1.0
山寨,1.0,型,1,贾樟柯,1.0
全新,1.0,电影站,1,好多,1.0
面面俱到,1.0,立意,1,评,1.0
小到,1.0,只会,1,说坏话,1.0
大到,1.0,落差,1,8.4,1.0
存亡,1.0,妹妹,1,像是,1.0
信服,1.0,一人拉低,1,刷,1.0
贡献,1.0,咔嚓,1,要用,1.0
极强,1.0,震天响,1,爱过,1.0
